,INSEE_COM,NOM_COMMUNE,epci23,epci23txt,scot,aav2020,naf14art15,naf15art16,naf16art17,naf17art18,naf18art19,naf19art20,naf20art21,naf21art22,naf22art23,pop14,pop20,pop1420,men14,men20,men1420,emp14,emp20,emp1420,mepart1420,menhab1420,artpop1420,surfcom2023,naf14art23,naf14art20,art14hab23,art14hab20
7270,22001,Allineuc,200067460,CC Loudéac Communauté - Bretagne Centre,SCoT Loudeac Communauté Bretagne Centre,056 - Saint-Brieuc,0,530,4094,0,2966,977,0,8257,825,588,596,8,236,240,4,108,84,-24,-23.35,4.67,1070.88,24366572.0,17649,8567,17496,8414
7271,22002,Andel,200069391,CA Lamballe Terre et Mer,SCoT du Pays de Saint-Brieuc,056 - Saint-Brieuc,5993,0,29189,28717,2159,20278,3022,16870,999,1109,1148,39,434,476,42,113,106,-7,4.05,4.86,2213.74,12398294.0,107227,86336,70253,66375
7272,22003,Aucaleuc,200068989,CA Dinan Agglomération,SCoT de Dinan Agglomération,187 - Dinan,8071,9176,8372,10405,6001,33439,2342,3568,4119,925,920,-5,338,366,28,195,213,18,6.1,3.71,-15092.8,6536695.0,85493,75464,67722,57693
7273,22004,Bégard,200067981,"CA Guingamp-Paimpol Agglomération de l""Armor à l""Argoat",SCoT du Pays de Guingamp,113 - Lannion,52809,3598,21429,5336,20593,19032,17175,19664,32311,4769,4810,41,2049,2095,46,1870,1909,39,6.92,3.75,2995.05,36348400.0,191947,122797,157828,101906
7274,22005,Belle-Isle-en-Terre,200067981,"CA Guingamp-Paimpol Agglomération de l""Armor à l""Argoat",SCoT du Pays de Guingamp,N/A - hors champ,500,9482,500,156,0,0,10422,363,3553,1081,1029,-52,505,489,-16,413,355,-58,-69.56,-15.04,-204.58,14333787.0,24976,10638,20871,9352
7275,22006,Berhet,200065928,CA Lannion-Trégor Communauté,SCoT du Trégor,113 - Lannion,0,2753,1500,439,0,2773,8957,0,2111,246,273,27,95,106,11,26,29,3,18.75,14.74,276.48,3339998.0,18533,7465,10172,7465
7276,22008,Bobital,200068989,CA Dinan Agglomération,SCoT de Dinan Agglomération,187 - Dinan,6317,22998,3520,9262,3129,6119,7859,2422,9190,1078,1137,59,451,475,24,100,82,-18,1.17,4.67,870.25,5096941.0,70816,51345,67605,49015
7277,22009,Le Bodéo,200069409,CA Saint-Brieuc Armor Agglomération,SCoT du Pays de Saint-Brieuc,056 - Saint-Brieuc,263,2404,0,3731,566,0,3133,5432,634,162,162,0,80,75,-5,25,23,-2,-10.05,-7.18,,10255071.0,16163,6964,14057,4884
7278,22011,Boqueho,200069086,CC Leff Armor Communauté,SCoT du Pays de Guingamp,056 - Saint-Brieuc,44,3003,4217,11332,5356,8062,8239,4381,8672,1084,1054,-30,426,430,4,162,139,-23,-5.93,1.25,-1067.13,27599936.0,53306,32014,48833,27541
7279,22012,La Bouillie,200069391,CA Lamballe Terre et Mer,SCoT du Pays de Saint-Brieuc,N/A - hors champ,2925,9531,11414,1999,11732,1709,0,5638,0,852,886,34,352,369,17,129,125,-4,3.31,4.32,1156.18,11002227.0,44948,39310,36576,32805
