,code_insee,nom_commun,epci,code_siren,Artif_Tot_m2,Conso_Tot_m2,Conso_bati_agric_m2,Conso_InduComTerti_m2,Part_Conso_bati_agric,Part_Conso_2011-2021
141,22370,Tréméven,Leff Armor Communauté,200069086,1013694.430581356,164199.37792896654,0.0,4845.148622409234,0.0,16.2
404,35284,Saint-Jouan-des-Guérets,Saint-Malo Agglomération,243500782,3119761.6134579945,383965.01817969687,29807.039858979937,11086.427248917491,7.8,12.3
472,56126,Marzan,Communauté de communes Arc Sud Bretagne,200027027,5117754.279010132,542846.2823503703,26042.30194329216,19770.734305089663,4.8,10.6
386,35179,Miniac-Morvan,Saint-Malo Agglomération,243500782,5914138.35735587,615542.2584854807,116718.04523149805,24116.30650295448,19.0,10.4
403,35279,Saint-Guinoux,Saint-Malo Agglomération,243500782,1202674.601993801,117710.67762839844,3292.405749418558,13547.682149809118,2.8,9.8
338,29260,Saint-Renan,Pays d'Iroise Communauté,242900074,5349336.145777269,513379.51184023486,19402.580193986076,27061.73735750917,3.8,9.6
514,56259,La Trinité-Surzur,Golfe du Morbihan - Vannes agglomération,200067932,1066764.5447207484,101362.24460213205,30045.43060981235,0.0,29.6,9.5
402,35270,Saint-Georges-de-Gréhaigne,Communauté de communes du pays de Dol et de la Baie du Mont St Michel,200070670,1233833.8084418406,114403.54105412167,24571.543814990415,5959.904341071902,21.5,9.3
383,35122,La Gouesnière,Saint-Malo Agglomération,243500782,1805159.7445711528,165085.02046093182,20224.877130557525,6542.099005944165,12.3,9.1
395,35246,Roz-Landrieux,Communauté de communes du pays de Dol et de la Baie du Mont St Michel,200070670,2483060.344396594,220234.68396940597,47403.7612752087,8758.889364948,21.5,8.9
397,35248,Sains,Communauté de communes du pays de Dol et de la Baie du Mont St Michel,200070670,1406200.999729043,124564.28145758636,0.0,12968.558809104426,0.0,8.9
427,56018,Billiers,Communauté de communes Arc Sud Bretagne,200027027,1165342.3249676481,102574.48309071407,0.0,3355.0344359958763,0.0,8.8
497,56193,Riantec,Lorient Agglomération,200042174,4328202.276030444,381759.35979209514,17546.913515970573,16098.544048630627,4.6,8.8
258,29161,Pleuven,Communauté de communes du Pays Fouesnantais,242900660,3422355.0644079316,298202.3200450381,14258.134988791908,4812.084208621571,4.8,8.7
486,56167,Plougoumelen,Golfe du Morbihan - Vannes agglomération,200067932,3265108.1927690045,280034.68370509177,65217.48772001826,5780.987193609031,23.3,8.6
45,22121,Lanvollon,Leff Armor Communauté,200069086,2000676.6465370448,172615.60599864382,29737.127087413373,10291.243779299035,17.2,8.6
134,22360,Trégueux,Saint-Brieuc Armor Agglomération,200069409,7407780.007431092,640059.896070049,96212.16300870839,1329.0649429498617,15.0,8.6
142,22372,Trémuson,Saint-Brieuc Armor Agglomération,200069409,2208145.758177979,189360.63427220783,36041.536947960514,1679.0153078401963,19.0,8.6
275,29181,Plouédern,Communauté d'agglomération du Pays de Landerneau-Daoulas,242900801,4683756.603462178,398812.44723401696,209395.37464646532,11838.70255641154,52.5,8.5
204,29076,Milizac-Guipronvel,Pays d'Iroise Communauté,242900074,6263261.7607363975,529251.7919059249,53611.37412851894,81869.31748195681,10.1,8.5
225,29105,Landivisiau,Communauté de communes du Pays de Landivisiau,242900751,7850222.61952907,662036.7205289316,266888.9928532172,11528.089776976603,40.3,8.4
203,29075,Guipavas,Brest Métropole,242900314,16836669.964816593,1400967.0806021306,271945.92699165206,42698.54392503602,19.4,8.3
426,56015,Berric,Questembert Communauté,245614383,2501556.332350273,207698.2305656685,4784.340455169403,12358.2754528538,2.3,8.3
439,56053,Elven,Golfe du Morbihan - Vannes agglomération,200067932,7158863.8101232955,584700.9184380205,73665.35299469865,11731.629710918776,12.6,8.2
273,29179,Ploudaniel,Communauté Lesneven Côte des Légendes,242900793,6642544.897254704,542678.4974462172,46558.46299111135,67415.72177368063,8.6,8.2
108,22273,Saint-Alban,Lamballe Terre et Mer,200069391,3889369.3528236994,311489.36882934865,33044.18173551178,13835.138814166492,10.6,8.0
517,56263,Sainte-Anne-d'Auray,Auray Quiberon Terre Atlantique,200043123,1911306.0408058048,148776.97457831466,0.0,724.5164133501315,0.0,7.8
393,35228,Pleurtuit,Communauté de communes de la Côte d'Emeraude,243500725,8834872.728498334,693472.9815179575,176404.63385321636,9628.428446872951,25.4,7.8
43,22118,Lanvallay,Dinan Agglomération,200068989,3740806.0069408948,291484.3085702782,16661.27410424897,8924.710654341334,5.7,7.8
185,29051,Ergué-Gabéric,Quimper Bretagne Occidentale,200068120,9165577.843474068,693091.9062150922,98582.95023523217,5085.55751957291,14.2,7.6
143,22375,Tressignaux,Leff Armor Communauté,200069086,1441494.072237682,107500.53130382476,1055.1183969788935,8432.481908935286,1.0,7.5
420,56004,Arzal,Communauté de communes Arc Sud Bretagne,200027027,3394527.8419242627,253774.4848964458,6543.966193443689,12710.710546942679,2.6,7.5
348,29276,Sibiril,Haut-Léon Communauté,200067072,1907695.1736383315,143701.3015815776,0.0,127973.73987920998,0.0,7.5
516,56262,Le Bono,Golfe du Morbihan - Vannes agglomération,200067932,1878145.6549578307,140759.11343828932,8472.143046486157,16844.90728947282,6.0,7.5
455,56090,Inzinzac-Lochrist,Lorient Agglomération,200042174,6212668.983046252,466021.7857086809,3852.316950847423,12136.167672504494,0.8,7.5
408,35299,Saint-Méloir-des-Ondes,Saint-Malo Agglomération,243500782,5522731.699660396,411014.07984634774,33602.0099910156,72524.14593778513,8.2,7.4
343,29268,Saint-Thonan,Communauté d'agglomération du Pays de Landerneau-Daoulas,242900801,1955924.3941326677,144242.29171336134,43850.08412321213,12441.991252654496,30.4,7.4
54,22171,Plaintel,Saint-Brieuc Armor Agglomération,200069409,6589528.407014484,490263.02580399957,77046.8811899333,14222.316689076293,15.7,7.4
75,22209,Beaussais-sur-Mer,Dinan Agglomération,200068989,5343392.861251654,391266.9671545183,4096.568510675024,16910.792767316067,1.0,7.3
372,35010,Baguer-Pican,Communauté de communes du pays de Dol et de la Baie du Mont St Michel,200070670,3022168.862659735,219828.15265719395,35492.19211319499,30979.46454878393,16.1,7.3
512,56255,Treffléan,Golfe du Morbihan - Vannes agglomération,200067932,2570432.702518516,188136.41795644007,5766.750213116784,1160.4213650296917,3.1,7.3
483,56161,Ploemel,Auray Quiberon Terre Atlantique,200043123,4667566.539230096,335763.2846754953,0.0,6355.711560350611,0.0,7.2
447,56077,Le Guerno,Communauté de communes Arc Sud Bretagne,200027027,1846379.3216493558,132619.31987851768,651.4910107954972,6840.590982408892,0.5,7.2
171,29030,Cléder,Haut-Léon Communauté,200067072,6703463.73568087,478318.2235665418,7346.289811572933,253693.28883277922,1.5,7.1
474,56132,Meucon,Golfe du Morbihan - Vannes agglomération,200067932,1400047.243592611,99734.00270525097,1731.375135359936,0.0,1.7,7.1
463,56109,Lauzach,Questembert Communauté,245614383,1653837.6299746912,114695.32509305955,2242.770702778911,8459.508371044249,2.0,6.9
138,22364,Trélivan,Dinan Agglomération,200068989,2887285.8271783204,195680.0739157869,2788.5122913639357,1736.203494525952,1.4,6.8
445,56067,Grand-Champ,Golfe du Morbihan - Vannes agglomération,200067932,10347988.960267114,699810.6785750815,38328.870966010065,21437.634386528596,5.5,6.8
157,29005,Baye,Quimperlé communauté,242900694,1448280.9255750226,96710.34736472864,0.0,6711.437147255847,0.0,6.7
260,29165,Plobannalec-Lesconil,Communauté de communes du Pays Bigouden Sud,242900702,5641816.00819057,376985.56299195165,0.0,7833.028083200183,0.0,6.7
125,22327,Saint-Samson-sur-Rance,Dinan Agglomération,200068989,1718955.5553276725,115170.43551645715,2049.857783833152,0.0,1.8,6.7
35,22106,Langueux,Saint-Brieuc Armor Agglomération,200069409,4972333.204877673,331923.0620921092,3766.0950045894556,146.08573063638505,1.1,6.7
278,29184,Plouénan,Haut-Léon Communauté,200067072,4109732.7795148273,269354.6816774418,14700.891463134225,147832.80915342338,5.5,6.6
380,35095,Dol-de-Bretagne,Communauté de communes du pays de Dol et de la Baie du Mont St Michel,200070670,4817483.411056144,311429.2520478455,68906.76395814882,3573.16499969341,22.1,6.5
81,22215,Ploufragan,Saint-Brieuc Armor Agglomération,200069409,10233686.732738363,665479.7569205908,13441.505484485524,6364.856261849575,2.0,6.5
196,29065,Gourlizon,Communauté de communes du Haut Pays Bigouden,242900710,1321144.3374493031,84967.35820194213,7241.502035134306,5352.432501495406,8.5,6.4
466,56115,Locmaria-Grand-Champ,Golfe du Morbihan - Vannes agglomération,200067932,4592477.747511792,294142.5908518219,16849.942915884483,0.0,5.7,6.4
176,29039,Concarneau,Concarneau Cornouaille Agglomération,242900769,14551923.607598709,937997.0004632698,97857.1721582929,9608.46866639787,10.4,6.4
