,lib4_2011,lib4_2021,surface_m2
0,Espace naturel,Activité autre que tertiaire : industrie et artisanat,171776.6
1,Espace naturel,Activité tertiaire,27275.1
2,Espace naturel,Activités autres que tertiaires : logistique et stockage,4688.9
3,Espace naturel,Activités multiples,4410.5
4,Espace naturel,Autre infrastructure,108522.7
5,Espace naturel,"Autre équipement local, administration",83764.8
6,Espace naturel,Bâti divers,20185.9
7,Espace naturel,Bâtiment agricole,44926.4
8,Espace naturel,Carrière,598687.7
9,Espace naturel,Chemin-sentier,38367.7
10,Espace naturel,Cimetière,5358.5
11,Espace naturel,Equipement d'enseignement,3.3
12,Espace naturel,Equipement de santé,32502.6
13,Espace naturel,"Equipement pour eau, assainissement, énergie",106058.1
14,Espace naturel,Equipement sportif (construit),1926.9
15,Espace naturel,Espaces naturels et agricoles aéroports,19039.0
16,Espace naturel,Habitat collectif,61524.1
17,Espace naturel,Habitat individuel,1075381.1
18,Espace naturel,Hôtel,15732.8
19,Espace naturel,Infrastructure de transport,1771.8
20,Espace naturel,Jardins activité (unité foncière),77334.2
21,Espace naturel,Jardins habitat (unité foncière),257697.5
22,Espace naturel,Parc et jardin,415007.7
23,Espace naturel,Parking construit,1962.4
24,Espace naturel,Parking non construit,104337.6
25,Espace naturel,Serre,86061.6
26,Espace naturel,Sport et loisir,250041.5
27,Espace naturel,Surface commerciale,102483.9
28,Espace naturel,Terrain vacant - activité,272588.5
29,Espace naturel,Terrain vacant - autre,335761.2
30,Espace naturel,Terrain vacant - habitat,442896.9
31,Espace naturel,Terrain vacants infrastructures (chantiers),16433.4
32,Espace naturel,Urbain mixte (habitat/activité tertiaire),5869.6
33,Espace naturel,Voie desserte activité,110219.7
34,Espace naturel,Voie desserte habitat,135997.7
35,Espace naturel,Voie desserte mixte,25226.4
36,Espaces boisés,Activité autre que tertiaire : industrie et artisanat,172898.1
37,Espaces boisés,Activité tertiaire,22096.7
38,Espaces boisés,Activités autres que tertiaires : logistique et stockage,14351.0
39,Espaces boisés,Activités multiples,4090.9
40,Espaces boisés,Autre infrastructure,115065.4
41,Espaces boisés,"Autre équipement local, administration",23711.8
42,Espaces boisés,Bâti divers,27626.7
43,Espaces boisés,Bâtiment agricole,56160.1
44,Espaces boisés,Bâtiment remarquable,48.9
45,Espaces boisés,Carrière,312642.5
46,Espaces boisés,Chemin-sentier,33952.1
47,Espaces boisés,Cimetière,13489.1
48,Espaces boisés,Equipement d'enseignement,1687.6
49,Espaces boisés,Equipement de santé,57382.5
50,Espaces boisés,"Equipement pour eau, assainissement, énergie",55837.3
51,Espaces boisés,Equipement sportif (construit),8353.0
52,Espaces boisés,"Espaces ""naturels"" militaires",11284.6
53,Espaces boisés,Espaces naturels et agricoles aéroports,53464.9
54,Espaces boisés,Habitat collectif,43551.5
55,Espaces boisés,Habitat individuel,982678.6
56,Espaces boisés,Hôtel,15122.3
57,Espaces boisés,Infrastructure de transport,4270.6
58,Espaces boisés,Jardins activité (unité foncière),56138.1
59,Espaces boisés,Jardins habitat (unité foncière),348001.1
60,Espaces boisés,Parc et jardin,574951.8
61,Espaces boisés,Parking construit,3353.1
62,Espaces boisés,Parking non construit,20392.0
63,Espaces boisés,Serre,33802.3
64,Espaces boisés,Sport et loisir,207990.6
