,BANDE_LITT,numdep,INSEE_COM,NOM,SIREN_EPCI,NOM_EPCI,SURFACE_M2
0,100m,22,22016,Île-de-Bréhat,NR,,1841480.2907120627
1,100_200m,22,22016,Île-de-Bréhat,NR,,882123.747193724
2,200_500m,22,22016,Île-de-Bréhat,NR,,393226.1747921224
3,100m,22,22049,Créhen,200068989,CA Dinan Agglomération,93817.5564539898
4,100_200m,22,22049,Créhen,200068989,CA Dinan Agglomération,112984.57063615414
5,200_500m,22,22049,Créhen,200068989,CA Dinan Agglomération,381572.4069055797
6,500m_1km,22,22049,Créhen,200068989,CA Dinan Agglomération,613247.0175266638
7,1_5km,22,22049,Créhen,200068989,CA Dinan Agglomération,9375213.070509924
9,100m,22,22054,Erquy,200069391,CA Lamballe Terre et Mer,1471077.7909123553
10,100_200m,22,22054,Erquy,200069391,CA Lamballe Terre et Mer,1393980.459436365
11,200_500m,22,22054,Erquy,200069391,CA Lamballe Terre et Mer,3748700.5236862227
12,500m_1km,22,22054,Erquy,200069391,CA Lamballe Terre et Mer,5235506.338509818
13,1_5km,22,22054,Erquy,200069391,CA Lamballe Terre et Mer,14560463.46679213
14,100m,22,22055,Binic-Étables-sur-Mer,200069409,CA Saint-Brieuc Armor Agglomération,831512.7306092129
15,100_200m,22,22055,Binic-Étables-sur-Mer,200069409,CA Saint-Brieuc Armor Agglomération,799548.6435370196
16,200_500m,22,22055,Binic-Étables-sur-Mer,200069409,CA Saint-Brieuc Armor Agglomération,2261823.5149594103
17,500m_1km,22,22055,Binic-Étables-sur-Mer,200069409,CA Saint-Brieuc Armor Agglomération,3655637.8120597186
18,1_5km,22,22055,Binic-Étables-sur-Mer,200069409,CA Saint-Brieuc Armor Agglomération,7472319.050903432
19,100m,22,22081,Hillion,200069409,CA Saint-Brieuc Armor Agglomération,1068832.760289491
20,100_200m,22,22081,Hillion,200069409,CA Saint-Brieuc Armor Agglomération,1045027.3381879986
21,200_500m,22,22081,Hillion,200069409,CA Saint-Brieuc Armor Agglomération,2984448.4911522814
22,500m_1km,22,22081,Hillion,200069409,CA Saint-Brieuc Armor Agglomération,4342722.348250933
23,1_5km,22,22081,Hillion,200069409,CA Saint-Brieuc Armor Agglomération,15120894.03757127
25,100m,22,22085,Kerbors,200065928,CA Lannion-Trégor Communauté,392113.6244591444
26,100_200m,22,22085,Kerbors,200065928,CA Lannion-Trégor Communauté,404176.71960864397
27,200_500m,22,22085,Kerbors,200065928,CA Lannion-Trégor Communauté,1141307.233378894
28,500m_1km,22,22085,Kerbors,200065928,CA Lannion-Trégor Communauté,1815923.4940019234
29,1_5km,22,22085,Kerbors,200065928,CA Lannion-Trégor Communauté,3275456.2874474376
30,100m,22,22093,Lamballe-Armor,200069391,CA Lamballe Terre et Mer,828795.9636573851
31,100_200m,22,22093,Lamballe-Armor,200069391,CA Lamballe Terre et Mer,797238.1133504604
32,200_500m,22,22093,Lamballe-Armor,200069391,CA Lamballe Terre et Mer,2336479.8431247827
33,500m_1km,22,22093,Lamballe-Armor,200069391,CA Lamballe Terre et Mer,3655487.549051706
34,1_5km,22,22093,Lamballe-Armor,200069391,CA Lamballe Terre et Mer,22198697.19020778
36,100m,22,22094,Lancieux,243500725,CC Côte d'Émeraude,641908.1720439793
37,100_200m,22,22094,Lancieux,243500725,CC Côte d'Émeraude,568626.2973817812
38,200_500m,22,22094,Lancieux,243500725,CC Côte d'Émeraude,1433146.5945115148
39,500m_1km,22,22094,Lancieux,243500725,CC Côte d'Émeraude,1895579.6433731443
40,1_5km,22,22094,Lancieux,243500725,CC Côte d'Émeraude,1906956.9355264606
41,100m,22,22103,Langrolay-sur-Rance,200068989,CA Dinan Agglomération,295896.6808092165
42,100_200m,22,22103,Langrolay-sur-Rance,200068989,CA Dinan Agglomération,288609.7150475372
43,200_500m,22,22103,Langrolay-sur-Rance,200068989,CA Dinan Agglomération,747796.9515689116
44,500m_1km,22,22103,Langrolay-sur-Rance,200068989,CA Dinan Agglomération,992279.8675915994
45,1_5km,22,22103,Langrolay-sur-Rance,200068989,CA Dinan Agglomération,2975332.4893456115
46,100m,22,22106,Langueux,200069409,CA Saint-Brieuc Armor Agglomération,449065.7244101159
47,100_200m,22,22106,Langueux,200069409,CA Saint-Brieuc Armor Agglomération,483765.6423295893
48,200_500m,22,22106,Langueux,200069409,CA Saint-Brieuc Armor Agglomération,1416952.1739241346
49,500m_1km,22,22106,Langueux,200069409,CA Saint-Brieuc Armor Agglomération,2200563.1920425235
50,1_5km,22,22106,Langueux,200069409,CA Saint-Brieuc Armor Agglomération,4664817.396590764
51,100m,22,22111,Lanmodez,200065928,CA Lannion-Trégor Communauté,629287.5689668787
52,100_200m,22,22111,Lanmodez,200065928,CA Lannion-Trégor Communauté,409651.0167460632
53,200_500m,22,22111,Lanmodez,200065928,CA Lannion-Trégor Communauté,974210.8073435182
54,500m_1km,22,22111,Lanmodez,200065928,CA Lannion-Trégor Communauté,1197698.3833660097
55,1_5km,22,22111,Lanmodez,200065928,CA Lannion-Trégor Communauté,945134.50941593
56,100m,22,22113,Lannion,200065928,CA Lannion-Trégor Communauté,1287970.8928935512
57,100_200m,22,22113,Lannion,200065928,CA Lannion-Trégor Communauté,1349068.1604198744
58,200_500m,22,22113,Lannion,200065928,CA Lannion-Trégor Communauté,4000084.105122556
59,500m_1km,22,22113,Lannion,200065928,CA Lannion-Trégor Communauté,6393813.975416761
60,1_5km,22,22113,Lannion,200065928,CA Lannion-Trégor Communauté,32204665.049324982
62,100m,22,22127,Lézardrieux,200065928,CA Lannion-Trégor Communauté,1142225.5103178506
63,100_200m,22,22127,Lézardrieux,200065928,CA Lannion-Trégor Communauté,948940.7579888596
64,200_500m,22,22127,Lézardrieux,200065928,CA Lannion-Trégor Communauté,2390683.3406227906
65,500m_1km,22,22127,Lézardrieux,200065928,CA Lannion-Trégor Communauté,3023411.6867347616
66,1_5km,22,22127,Lézardrieux,200065928,CA Lannion-Trégor Communauté,4538904.227381357
67,100m,22,22134,Louannec,200065928,CA Lannion-Trégor Communauté,397028.3840945009
68,100_200m,22,22134,Louannec,200065928,CA Lannion-Trégor Communauté,413767.0042806998
69,200_500m,22,22134,Louannec,200065928,CA Lannion-Trégor Communauté,1220633.9068681044
70,500m_1km,22,22134,Louannec,200065928,CA Lannion-Trégor Communauté,1885926.7665781844
71,1_5km,22,22134,Louannec,200065928,CA Lannion-Trégor Communauté,10166663.290561449
73,100m,22,22143,Matignon,200068989,CA Dinan Agglomération,508337.77592763054
74,100_200m,22,22143,Matignon,200068989,CA Dinan Agglomération,519933.1949077809
75,200_500m,22,22143,Matignon,200068989,CA Dinan Agglomération,1376027.1934986797
76,500m_1km,22,22143,Matignon,200068989,CA Dinan Agglomération,1893557.5140460115
77,1_5km,22,22143,Matignon,200068989,CA Dinan Agglomération,10339256.739011109
78,100m,22,22162,Paimpol,200067981,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,1667322.7218701183
79,100_200m,22,22162,Paimpol,200067981,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,1509642.7728254525
80,200_500m,22,22162,Paimpol,200067981,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,3982100.0546141416
81,500m_1km,22,22162,Paimpol,200067981,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,5966394.682374996
82,1_5km,22,22162,Paimpol,200067981,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,10599347.153488846
83,100m,22,22166,Penvénan,200065928,CA Lannion-Trégor Communauté,1286885.9945362723
84,100_200m,22,22166,Penvénan,200065928,CA Lannion-Trégor Communauté,730964.6935853782
85,200_500m,22,22166,Penvénan,200065928,CA Lannion-Trégor Communauté,1903376.722995135
86,500m_1km,22,22166,Penvénan,200065928,CA Lannion-Trégor Communauté,2808425.226763646
87,1_5km,22,22166,Penvénan,200065928,CA Lannion-Trégor Communauté,13483583.869291158
88,100m,22,22168,Perros-Guirec,200065928,CA Lannion-Trégor Communauté,1826942.5678731012
89,100_200m,22,22168,Perros-Guirec,200065928,CA Lannion-Trégor Communauté,1108184.9792951501
90,200_500m,22,22168,Perros-Guirec,200065928,CA Lannion-Trégor Communauté,2648675.6597274616
91,500m_1km,22,22168,Perros-Guirec,200065928,CA Lannion-Trégor Communauté,2638123.831580391
92,1_5km,22,22168,Perros-Guirec,200065928,CA Lannion-Trégor Communauté,6664654.510515554
93,100m,22,22174,Pléboulle,200068989,CA Dinan Agglomération,243793.69911641924
94,100_200m,22,22174,Pléboulle,200068989,CA Dinan Agglomération,230332.06086125984
95,200_500m,22,22174,Pléboulle,200068989,CA Dinan Agglomération,763888.8004158473
96,500m_1km,22,22174,Pléboulle,200068989,CA Dinan Agglomération,1576741.4038325646
97,1_5km,22,22174,Pléboulle,200068989,CA Dinan Agglomération,11009991.711157402
99,100m,22,22179,Fréhel,200068989,CA Dinan Agglomération,882308.1469237973
100,100_200m,22,22179,Fréhel,200068989,CA Dinan Agglomération,853881.4305277232
101,200_500m,22,22179,Fréhel,200068989,CA Dinan Agglomération,2359016.799825597
102,500m_1km,22,22179,Fréhel,200068989,CA Dinan Agglomération,3973527.235152751
103,1_5km,22,22179,Fréhel,200068989,CA Dinan Agglomération,11063957.860599268
104,100m,22,22186,Pléneuf-Val-André,200069391,CA Lamballe Terre et Mer,1049010.2596956077
105,100_200m,22,22186,Pléneuf-Val-André,200069391,CA Lamballe Terre et Mer,974933.8529380914
106,200_500m,22,22186,Pléneuf-Val-André,200069391,CA Lamballe Terre et Mer,2287999.7108706674
107,500m_1km,22,22186,Pléneuf-Val-André,200069391,CA Lamballe Terre et Mer,3192399.748408897
108,1_5km,22,22186,Pléneuf-Val-André,200069391,CA Lamballe Terre et Mer,9445525.053237235
109,100m,22,22187,Plérin,200069409,CA Saint-Brieuc Armor Agglomération,889311.7839874361
110,100_200m,22,22187,Plérin,200069409,CA Saint-Brieuc Armor Agglomération,872816.6725430789
111,200_500m,22,22187,Plérin,200069409,CA Saint-Brieuc Armor Agglomération,2410786.652931597
112,500m_1km,22,22187,Plérin,200069409,CA Saint-Brieuc Armor Agglomération,3815781.3329733238
113,1_5km,22,22187,Plérin,200069409,CA Saint-Brieuc Armor Agglomération,16295350.221483547
115,100m,22,22194,Plestin-les-Grèves,200065928,CA Lannion-Trégor Communauté,995306.8300853316
116,100_200m,22,22194,Plestin-les-Grèves,200065928,CA Lannion-Trégor Communauté,980152.0453090253
117,200_500m,22,22194,Plestin-les-Grèves,200065928,CA Lannion-Trégor Communauté,2898631.5030569537
118,500m_1km,22,22194,Plestin-les-Grèves,200065928,CA Lannion-Trégor Communauté,4416266.144711132
119,1_5km,22,22194,Plestin-les-Grèves,200065928,CA Lannion-Trégor Communauté,22477249.47197498
121,100m,22,22195,Pleubian,200065928,CA Lannion-Trégor Communauté,1279506.450647529
122,100_200m,22,22195,Pleubian,200065928,CA Lannion-Trégor Communauté,1001199.349654977
123,200_500m,22,22195,Pleubian,200065928,CA Lannion-Trégor Communauté,2548250.2257637056
124,500m_1km,22,22195,Pleubian,200065928,CA Lannion-Trégor Communauté,3659145.8413281795
125,1_5km,22,22195,Pleubian,200065928,CA Lannion-Trégor Communauté,11545807.257695084
126,100m,22,22196,Pleudaniel,200065928,CA Lannion-Trégor Communauté,350807.4334587712
127,100_200m,22,22196,Pleudaniel,200065928,CA Lannion-Trégor Communauté,373142.2513055506
128,200_500m,22,22196,Pleudaniel,200065928,CA Lannion-Trégor Communauté,1095513.3941364102
129,500m_1km,22,22196,Pleudaniel,200065928,CA Lannion-Trégor Communauté,2150368.3232448464
130,1_5km,22,22196,Pleudaniel,200065928,CA Lannion-Trégor Communauté,14170428.301007792
132,100m,22,22197,Pleudihen-sur-Rance,200068989,CA Dinan Agglomération,1314422.6127923226
133,100_200m,22,22197,Pleudihen-sur-Rance,200068989,CA Dinan Agglomération,1325228.924142262
134,200_500m,22,22197,Pleudihen-sur-Rance,200068989,CA Dinan Agglomération,3725464.095579996
135,500m_1km,22,22197,Pleudihen-sur-Rance,200068989,CA Dinan Agglomération,5031784.41599099
136,1_5km,22,22197,Pleudihen-sur-Rance,200068989,CA Dinan Agglomération,13385647.753603807
138,100m,22,22198,Pleumeur-Bodou,200065928,CA Lannion-Trégor Communauté,1877750.7894763302
139,100_200m,22,22198,Pleumeur-Bodou,200065928,CA Lannion-Trégor Communauté,1091621.0570972494
140,200_500m,22,22198,Pleumeur-Bodou,200065928,CA Lannion-Trégor Communauté,1938102.5445087582
141,500m_1km,22,22198,Pleumeur-Bodou,200065928,CA Lannion-Trégor Communauté,2292774.5924875177
142,1_5km,22,22198,Pleumeur-Bodou,200065928,CA Lannion-Trégor Communauté,20112669.482166853
143,100m,22,22201,Plévenon,200068989,CA Dinan Agglomération,1568593.983663822
144,100_200m,22,22201,Plévenon,200068989,CA Dinan Agglomération,1344191.41315605
145,200_500m,22,22201,Plévenon,200068989,CA Dinan Agglomération,3431941.6619517496
146,500m_1km,22,22201,Plévenon,200068989,CA Dinan Agglomération,3833349.055865507
147,1_5km,22,22201,Plévenon,200068989,CA Dinan Agglomération,3876277.3526321747
148,100m,22,22209,Beaussais-sur-Mer,200068989,CA Dinan Agglomération,427922.3978391565
149,100_200m,22,22209,Beaussais-sur-Mer,200068989,CA Dinan Agglomération,455841.457107414
150,200_500m,22,22209,Beaussais-sur-Mer,200068989,CA Dinan Agglomération,1430247.7868178193
151,500m_1km,22,22209,Beaussais-sur-Mer,200068989,CA Dinan Agglomération,3078674.2063911324
152,1_5km,22,22209,Beaussais-sur-Mer,200068989,CA Dinan Agglomération,24409625.571266383
154,100m,22,22210,Ploubazlanec,200067981,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,1550648.383193017
155,100_200m,22,22210,Ploubazlanec,200067981,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,1363802.8420074522
156,200_500m,22,22210,Ploubazlanec,200067981,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,3476210.358357423
157,500m_1km,22,22210,Ploubazlanec,200067981,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,4492631.122888485
158,1_5km,22,22210,Ploubazlanec,200067981,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,4420057.746226747
159,100m,22,22213,Plouër-sur-Rance,200068989,CA Dinan Agglomération,1100793.5191662835
160,100_200m,22,22213,Plouër-sur-Rance,200068989,CA Dinan Agglomération,1096001.02202743
161,200_500m,22,22213,Plouër-sur-Rance,200068989,CA Dinan Agglomération,2902045.8615198396
162,500m_1km,22,22213,Plouër-sur-Rance,200068989,CA Dinan Agglomération,4167666.558745655
163,1_5km,22,22213,Plouër-sur-Rance,200068989,CA Dinan Agglomération,10938995.404104698
164,100m,22,22214,Plouézec,200067981,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,1238198.1156950467
165,100_200m,22,22214,Plouézec,200067981,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,964790.419235358
166,200_500m,22,22214,Plouézec,200067981,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,2493339.003111257
167,500m_1km,22,22214,Plouézec,200067981,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,3621291.9010412088
168,1_5km,22,22214,Plouézec,200067981,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,19518220.73960857
170,100m,22,22218,Plougrescant,200065928,CA Lannion-Trégor Communauté,1683064.2494582369
171,100_200m,22,22218,Plougrescant,200065928,CA Lannion-Trégor Communauté,1098376.7726434171
172,200_500m,22,22218,Plougrescant,200065928,CA Lannion-Trégor Communauté,3097961.769972806
173,500m_1km,22,22218,Plougrescant,200065928,CA Lannion-Trégor Communauté,4510519.459626087
174,1_5km,22,22218,Plougrescant,200065928,CA Lannion-Trégor Communauté,5716410.782116422
175,100m,22,22221,Plouguiel,200065928,CA Lannion-Trégor Communauté,347167.38463193295
176,100_200m,22,22221,Plouguiel,200065928,CA Lannion-Trégor Communauté,334672.15999181906
177,200_500m,22,22221,Plouguiel,200065928,CA Lannion-Trégor Communauté,994074.7670329142
178,500m_1km,22,22221,Plouguiel,200065928,CA Lannion-Trégor Communauté,1527854.4090172672
179,1_5km,22,22221,Plouguiel,200065928,CA Lannion-Trégor Communauté,12700464.892052716
181,100m,22,22222,Plouha,200069086,CC Leff Armor Communauté,1063397.4652972934
182,100_200m,22,22222,Plouha,200069086,CC Leff Armor Communauté,958095.6933022216
183,200_500m,22,22222,Plouha,200069086,CC Leff Armor Communauté,2808692.8791199354
184,500m_1km,22,22222,Plouha,200069086,CC Leff Armor Communauté,4551155.178986086
185,1_5km,22,22222,Plouha,200069086,CC Leff Armor Communauté,27269130.115631845
187,100m,22,22224,Ploulec'h,200065928,CA Lannion-Trégor Communauté,410279.2818791189
