,INSEE_COM,NOM_COMMUNE,SIREN_EPCI,TacheUrb2014,Nb_Permis,Part_Permis_annules,Part_Demandeurs_MEME_COMMUN,Part_Demandeurs_MEME_EPCI,Part_Demandeurs_MEME_DEP,Part_Demandeurs_BRETAGNE,Part_Demandeurs_Ouest,Part_Demandeurs_LOINTAINS,Nouveaux_Logements,Resid_secondaire,Surface_terrains,Surface_Logements,Surface_Locaux,Surface_hotels,Surface_bureaux,Surface_commerces,Surface_artisanat,Surface_industrie,Surface_bat_agricoles,Surface_entrepots,Surface_services_publics
0,22002,Andel,200069391,extérieur,1,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0,0,34351.0,0.0,142.0,0,0,0,0,0,142,0,0
1,22012,La Bouillie,200069391,extérieur,2,0.0,50.0,100.0,100.0,100.0,100.0,0.0,2,0,37726.0,251.0,571.0,0,0,0,0,0,571,0,0
2,22012,La Bouillie,200069391,intérieur,2,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0,0,43600.0,0.0,1338.0,0,0,0,0,0,1338,0,0
3,22016,Île-de-Bréhat,NR,intérieur,15,0.0,80.0,0.0,93.0,93.0,93.0,7.0,11,1,12065.0,948.0,1515.0,65,54,218,247,0,0,314,10
4,22028,Camlez,200065928,extérieur,7,0.0,86.0,86.0,86.0,86.0,100.0,0.0,1,0,418811.0,111.0,27908.0,0,0,0,29,292,27587,0,0
5,22028,Camlez,200065928,intérieur,7,0.0,29.0,71.0,100.0,100.0,100.0,0.0,7,0,37884.0,624.0,233.0,0,0,0,0,0,217,0,16
6,22044,Coëtmieux,200069391,extérieur,10,0.0,20.0,40.0,90.0,90.0,90.0,10.0,7,0,38763.0,860.0,854.0,0,0,0,0,0,727,0,127
7,22044,Coëtmieux,200069391,intérieur,13,0.0,38.0,54.0,100.0,100.0,100.0,0.0,12,0,9128.0,1457.0,633.0,0,0,0,0,0,633,0,0
8,22049,Créhen,200068989,extérieur,44,7.0,11.0,43.0,73.0,86.0,86.0,14.0,37,1,202412.0,3536.0,19930.0,0,1129,0,0,18788,0,0,13
9,22049,Créhen,200068989,intérieur,52,4.0,15.0,31.0,81.0,88.0,90.0,10.0,61,2,323702.0,5802.0,2749.0,0,0,526,81,1815,0,0,327
10,22050,Dinan,200068989,intérieur,5,20.0,20.0,20.0,20.0,100.0,100.0,0.0,3,0,1612.0,414.0,18.0,0,0,0,0,0,0,0,18
11,22054,Erquy,200069391,extérieur,158,1.0,25.0,44.0,61.0,73.0,82.0,18.0,186,22,607287.0,22272.0,17500.0,218,0,0,3073,177,5343,0,4421
