,SIREN_EPCI,NOM_EPCI,Nb_Permis,Part_Permis_annules,Part_Demandeurs_MEME_EPCI,Part_Demandeurs_MEME_DEP,Part_Demandeurs_BRETAGNE,Part_Demandeurs_Ouest,Part_Demandeurs_LOINTAINS,Nouveaux_Logements,Resid_secondaire,Surface_terrains,Surface_Logements,Surface_Locaux,Surface_hotels,Surface_bureaux,Surface_commerces,Surface_artisanat,Surface_industrie,Surface_bat_agricoles,Surface_entrepots,Surface_services_publics
0,200027027,CC Arc Sud Bretagne,366,0.0,43.0,71.0,85.0,88.0,12.0,373,43,2026487.0,41038.0,27501.0,0,568,1628,396,7,22702,1306,116
1,200042174,CA Lorient Agglomération,1085,0.0,74.0,85.0,93.0,94.0,6.0,1914,37,4073222.0,186530.0,175892.0,10443,26731,16601,20569,23100,8148,32409,26344
2,200043123,CC Auray Quiberon Terre Atlantique,1941,0.0,59.0,82.0,90.0,91.0,9.0,2578,135,6330928.0,261175.0,105713.0,89,18600,9750,16804,13870,18683,20060,6871
3,200065928,CA Lannion-Trégor Communauté,1230,0.0,68.0,81.0,88.0,90.0,10.0,1661,90,3074123.0,170162.0,103665.0,40,8484,5019,9250,355,65016,9057,4350
4,200066868,CC Presqu'île de Crozon-Aulne maritime,278,0.0,54.0,81.0,85.0,86.0,14.0,307,35,955210.0,32074.0,18738.0,412,728,3143,260,0,5983,5298,1084
5,200067072,CC Haut-Léon Communauté,672,0.0,63.0,86.0,90.0,91.0,9.0,731,67,1916151.0,76484.0,485631.0,0,1325,3659,5098,0,458724,4985,11820
6,200067247,CC Pleyben-Châteaulin-Porzay,91,0.0,56.0,88.0,90.0,91.0,9.0,94,6,729666.0,11114.0,8355.0,960,52,302,0,8,5160,248,414
7,200067346,CA Pornic Agglo Pays de Retz,1181,0.0,39.0,83.0,81.0,93.0,7.0,1701,84,1439785.0,160193.0,55299.0,3044,8760,2309,8595,757,22956,5932,2784
8,200067932,CA Golfe du Morbihan - Vannes Agglomération,2244,0.0,44.0,78.0,88.0,90.0,10.0,3759,174,12820903.0,381004.0,204049.0,2295,58507,15127,24017,6489,39660,34900,17692
9,200067981,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,249,0.0,58.0,78.0,87.0,88.0,12.0,286,8,386194.0,31251.0,41916.0,0,333,1024,2092,468,30875,3048,4076
10,200068120,CA Quimper Bretagne Occidentale,1,0.0,100.0,100.0,100.0,100.0,0.0,1,0,1721.0,149.0,0.0,0,0,0,0,0,0,0,0
11,200068989,CA Dinan Agglomération,1158,0.0,24.0,52.0,87.0,91.0,9.0,1219,176,2038964.0,125511.0,69070.0,0,7359,6012,6771,27900,10328,8786,1620
12,200069086,CC Leff Armor Communauté,106,0.0,41.0,72.0,78.0,80.0,20.0,118,11,267711.0,12660.0,900.0,0,0,0,0,0,891,0,9
13,200069391,CA Lamballe Terre et Mer,715,0.0,51.0,73.0,85.0,89.0,11.0,787,32,1461602.0,85848.0,23356.0,421,1348,2054,3553,182,10071,4082,1431
14,200069409,CA Saint-Brieuc Armor Agglomération,1362,0.0,68.0,89.0,93.0,94.0,6.0,1989,12,2466418.0,196349.0,74203.0,3590,16258,4801,16019,2687,8890,11963,9057
15,200070670,CC du Pays de Dol et de la Baie du Mont Saint-Michel,67,0.0,52.0,84.0,87.0,91.0,9.0,59,1,349326.0,5926.0,11117.0,3817,295,0,1541,0,4930,227,165
