,SIREN_EPCI,NOM_EPCI,ANNEE,Nb_Permis,Part_Permis_annules,Part_Demandeurs_MEME_EPCI,Part_Demandeurs_MEME_DEP,Part_Demandeurs_BRETAGNE,Part_Demandeurs_Ouest,Part_Demandeurs_LOINTAINS,Nouveaux_Logements,Resid_secondaire,Surface_terrains,Surface_Logements,Surface_Locaux,Surface_hotels,Surface_bureaux,Surface_commerces,Surface_artisanat,Surface_industrie,Surface_bat_agricoles,Surface_entrepots,Surface_services_publics
0,200027027,CC Arc Sud Bretagne,2020,4,0.0,75.0,75.0,75.0,75.0,25.0,4,0,100358.0,295.0,592.0,0,0,0,0,0,0,571,21
1,200027027,CC Arc Sud Bretagne,2021,9,0.0,89.0,100.0,100.0,100.0,0.0,7,0,172078.0,825.0,1393.0,0,0,0,0,0,1393,0,0
2,200027027,CC Arc Sud Bretagne,2022,39,0.0,46.0,67.0,77.0,82.0,18.0,41,4,425096.0,4201.0,16990.0,0,0,0,0,0,16788,0,0
3,200027027,CC Arc Sud Bretagne,2023,41,0.0,27.0,66.0,85.0,85.0,15.0,48,3,455235.0,5055.0,3332.0,0,254,108,292,0,2196,104,88
4,200027027,CC Arc Sud Bretagne,2024,20,0.0,50.0,75.0,95.0,100.0,0.0,26,2,98033.0,2481.0,561.0,0,94,366,0,0,0,0,7
5,200027027,CC Arc Sud Bretagne,2013,6,0.0,67.0,100.0,100.0,100.0,0.0,7,1,2695.0,723.0,0.0,0,0,0,0,0,0,0,0
6,200027027,CC Arc Sud Bretagne,2014,10,0.0,40.0,50.0,60.0,60.0,40.0,10,3,24069.0,1200.0,0.0,0,0,0,0,0,0,0,0
7,200027027,CC Arc Sud Bretagne,2015,14,0.0,36.0,57.0,86.0,93.0,7.0,14,3,5520.0,1439.0,0.0,0,0,0,0,0,0,0,0
8,200027027,CC Arc Sud Bretagne,2016,16,0.0,50.0,75.0,94.0,94.0,6.0,14,3,4206.0,1744.0,2925.0,0,129,0,104,0,2121,571,0
9,200027027,CC Arc Sud Bretagne,2017,22,0.0,68.0,86.0,91.0,91.0,9.0,22,1,3329.0,2506.0,0.0,0,0,0,0,0,0,0,0
10,200027027,CC Arc Sud Bretagne,2018,31,0.0,52.0,74.0,87.0,90.0,10.0,30,5,7527.0,3409.0,7.0,0,0,0,0,7,0,0,0
11,200027027,CC Arc Sud Bretagne,2019,63,0.0,27.0,63.0,76.0,84.0,16.0,62,5,446296.0,6513.0,1154.0,0,0,1154,0,0,0,0,0
12,200027027,CC Arc Sud Bretagne,2020,45,0.0,38.0,71.0,87.0,89.0,11.0,44,7,144180.0,5300.0,151.0,0,91,0,0,0,0,60,0
13,200027027,CC Arc Sud Bretagne,2021,31,0.0,39.0,74.0,84.0,84.0,16.0,31,4,102103.0,3533.0,0.0,0,0,0,0,0,0,0,0
14,200027027,CC Arc Sud Bretagne,2022,12,0.0,58.0,75.0,100.0,100.0,0.0,11,2,25294.0,1325.0,12.0,0,0,0,0,0,12,0,0
15,200027027,CC Arc Sud Bretagne,2023,3,0.0,67.0,100.0,100.0,100.0,0.0,2,0,10468.0,489.0,384.0,0,0,0,0,0,192,0,0
16,200042174,CA Lorient Agglomération,2020,15,0.0,80.0,93.0,100.0,100.0,0.0,19,0,36848.0,1678.0,1531.0,0,664,257,0,0,0,0,610
17,200042174,CA Lorient Agglomération,2021,27,0.0,67.0,78.0,89.0,93.0,7.0,133,2,204770.0,9406.0,25760.0,9615,1090,2108,1762,0,931,614,25
18,200042174,CA Lorient Agglomération,2022,51,0.0,69.0,80.0,90.0,90.0,10.0,79,3,800712.0,8980.0,16521.0,828,1356,920,704,0,4679,1902,5775
19,200042174,CA Lorient Agglomération,2023,47,0.0,72.0,85.0,96.0,98.0,2.0,47,1,230535.0,5533.0,29808.0,0,10248,4759,1123,7185,0,6467,26
20,200042174,CA Lorient Agglomération,2024,39,0.0,74.0,79.0,90.0,92.0,8.0,168,4,1068962.0,12837.0,11774.0,0,1364,0,1579,1528,1405,1648,4250
21,200042174,CA Lorient Agglomération,2013,35,0.0,80.0,89.0,91.0,91.0,9.0,31,2,64343.0,3541.0,7603.0,0,2804,257,1563,305,0,1323,1351
22,200042174,CA Lorient Agglomération,2014,59,0.0,88.0,98.0,100.0,100.0,0.0,123,0,77400.0,12869.0,2704.0,0,303,299,729,1074,0,0,0
23,200042174,CA Lorient Agglomération,2015,65,0.0,71.0,88.0,94.0,94.0,6.0,61,1,37573.0,7317.0,6174.0,0,298,0,4082,0,0,1589,7
24,200042174,CA Lorient Agglomération,2016,66,0.0,74.0,80.0,86.0,88.0,12.0,131,2,137645.0,12027.0,8286.0,0,499,157,826,72,0,158,6574
25,200042174,CA Lorient Agglomération,2017,81,0.0,78.0,84.0,94.0,95.0,5.0,254,0,168381.0,22225.0,5806.0,0,342,0,0,17,0,4051,698
26,200042174,CA Lorient Agglomération,2018,157,0.0,76.0,86.0,95.0,96.0,4.0,250,2,100940.0,24392.0,18830.0,0,4159,2325,776,5085,0,6485,0
27,200042174,CA Lorient Agglomération,2019,109,0.0,73.0,81.0,92.0,93.0,7.0,148,2,130206.0,15111.0,9455.0,0,795,0,1605,471,0,3116,3468
28,200042174,CA Lorient Agglomération,2020,113,0.0,76.0,87.0,95.0,96.0,4.0,109,7,98817.0,12648.0,14967.0,0,1968,189,0,6610,504,3376,2320
29,200042174,CA Lorient Agglomération,2021,89,0.0,65.0,83.0,91.0,92.0,8.0,195,4,403836.0,15846.0,13834.0,0,140,5184,5820,753,0,814,1123
30,200042174,CA Lorient Agglomération,2022,108,0.0,70.0,84.0,93.0,95.0,5.0,116,4,494242.0,14804.0,1463.0,0,542,146,0,0,629,0,0
31,200042174,CA Lorient Agglomération,2023,21,0.0,67.0,71.0,90.0,90.0,10.0,48,3,16657.0,7023.0,1130.0,0,117,0,0,0,0,662,117
32,200042174,CA Lorient Agglomération,2024,3,0.0,100.0,100.0,100.0,100.0,0.0,2,0,1355.0,293.0,246.0,0,42,0,0,0,0,204,0
33,200043123,CC Auray Quiberon Terre Atlantique,2020,31,0.0,55.0,74.0,87.0,87.0,13.0,54,2,471648.0,4995.0,6495.0,0,90,0,0,0,4479,1835,91
34,200043123,CC Auray Quiberon Terre Atlantique,2021,61,0.0,54.0,87.0,92.0,92.0,8.0,137,4,508622.0,11903.0,9295.0,89,0,398,120,52,2833,0,5803
35,200043123,CC Auray Quiberon Terre Atlantique,2022,126,0.0,55.0,85.0,93.0,94.0,6.0,200,17,1626760.0,18763.0,17479.0,0,1161,2353,3792,3590,2716,3784,83
36,200043123,CC Auray Quiberon Terre Atlantique,2023,79,0.0,49.0,68.0,81.0,84.0,16.0,122,11,1040244.0,11581.0,6720.0,0,408,632,370,840,1189,3263,18
37,200043123,CC Auray Quiberon Terre Atlantique,2024,74,0.0,43.0,74.0,89.0,92.0,8.0,73,11,453571.0,7700.0,7323.0,0,616,1092,993,0,3007,1538,77
38,200043123,CC Auray Quiberon Terre Atlantique,2013,84,0.0,68.0,86.0,89.0,90.0,10.0,112,6,134861.0,11907.0,13430.0,0,5447,596,789,3370,0,1722,675
39,200043123,CC Auray Quiberon Terre Atlantique,2014,87,0.0,62.0,84.0,90.0,90.0,10.0,104,3,122901.0,11065.0,2988.0,0,1380,0,1481,0,127,0,0
40,200043123,CC Auray Quiberon Terre Atlantique,2015,96,0.0,64.0,88.0,91.0,91.0,9.0,95,3,161570.0,10373.0,5878.0,0,490,397,411,2689,1366,525,0
41,200043123,CC Auray Quiberon Terre Atlantique,2016,150,0.0,63.0,86.0,92.0,93.0,7.0,181,7,213914.0,19206.0,4012.0,0,3004,234,671,0,0,87,16
42,200043123,CC Auray Quiberon Terre Atlantique,2017,266,0.0,56.0,81.0,89.0,91.0,9.0,322,15,943426.0,31908.0,9815.0,0,194,2299,3249,2526,640,818,89
43,200043123,CC Auray Quiberon Terre Atlantique,2018,190,0.0,66.0,83.0,91.0,93.0,7.0,231,12,179569.0,24211.0,6194.0,0,3670,733,0,297,603,882,9
44,200043123,CC Auray Quiberon Terre Atlantique,2019,183,0.0,64.0,79.0,90.0,91.0,9.0,190,9,119864.0,21060.0,1522.0,0,1053,0,152,0,0,162,0
45,200043123,CC Auray Quiberon Terre Atlantique,2020,149,0.0,60.0,83.0,89.0,91.0,9.0,275,12,142567.0,27865.0,5095.0,0,718,180,1751,506,1058,882,0
46,200043123,CC Auray Quiberon Terre Atlantique,2021,260,0.0,57.0,84.0,89.0,91.0,9.0,321,14,133612.0,33151.0,4315.0,0,272,836,0,0,146,3052,9
47,200043123,CC Auray Quiberon Terre Atlantique,2022,61,0.0,66.0,84.0,95.0,95.0,5.0,93,3,47133.0,9179.0,3010.0,0,48,0,933,0,519,1510,0
48,200043123,CC Auray Quiberon Terre Atlantique,2023,22,0.0,36.0,64.0,73.0,82.0,18.0,29,3,12186.0,2756.0,1376.0,0,0,0,1376,0,0,0,0
49,200043123,CC Auray Quiberon Terre Atlantique,2024,22,0.0,55.0,77.0,91.0,91.0,9.0,39,3,18480.0,3552.0,766.0,0,49,0,716,0,0,0,1
50,200065928,CA Lannion-Trégor Communauté,2020,29,0.0,62.0,90.0,90.0,90.0,10.0,51,2,350718.0,4619.0,5390.0,0,1146,283,0,0,3687,167,107
51,200065928,CA Lannion-Trégor Communauté,2021,90,0.0,60.0,71.0,88.0,89.0,11.0,151,8,423007.0,14339.0,14760.0,0,979,0,1727,0,9569,2141,344
52,200065928,CA Lannion-Trégor Communauté,2022,134,0.0,60.0,73.0,86.0,87.0,13.0,163,14,439032.0,20397.0,13214.0,0,3791,429,388,0,5391,1785,176
53,200065928,CA Lannion-Trégor Communauté,2023,132,0.0,58.0,70.0,83.0,84.0,16.0,168,11,327604.0,15752.0,2874.0,0,93,0,360,16,1041,941,423
54,200065928,CA Lannion-Trégor Communauté,2024,78,0.0,65.0,74.0,85.0,87.0,13.0,272,13,353066.0,24689.0,4998.0,40,690,0,623,0,3408,0,237
55,200065928,CA Lannion-Trégor Communauté,2013,65,0.0,75.0,78.0,89.0,92.0,8.0,58,3,158186.0,7390.0,28348.0,0,0,0,756,0,26421,245,926
56,200065928,CA Lannion-Trégor Communauté,2014,51,0.0,82.0,92.0,94.0,94.0,6.0,49,3,128089.0,5531.0,2609.0,0,108,1159,0,0,1152,190,0
57,200065928,CA Lannion-Trégor Communauté,2015,88,0.0,69.0,90.0,93.0,94.0,6.0,114,8,85377.0,11277.0,2977.0,0,283,0,850,0,1397,255,0
58,200065928,CA Lannion-Trégor Communauté,2016,96,0.0,71.0,82.0,85.0,85.0,15.0,119,2,164131.0,12725.0,7965.0,0,0,567,541,0,6206,611,0
59,200065928,CA Lannion-Trégor Communauté,2017,94,0.0,72.0,87.0,90.0,93.0,7.0,104,3,138352.0,10746.0,5673.0,0,0,424,2861,0,272,266,1850
60,200065928,CA Lannion-Trégor Communauté,2018,75,0.0,79.0,89.0,96.0,96.0,4.0,85,2,60693.0,8925.0,3173.0,0,252,2157,368,0,0,215,0
61,200065928,CA Lannion-Trégor Communauté,2019,84,0.0,77.0,87.0,90.0,90.0,10.0,92,6,141920.0,9874.0,7069.0,0,0,0,238,0,6472,359,0
62,200065928,CA Lannion-Trégor Communauté,2020,65,0.0,69.0,85.0,94.0,94.0,6.0,66,2,48671.0,7203.0,1983.0,0,932,0,0,0,0,1051,0
63,200065928,CA Lannion-Trégor Communauté,2021,86,0.0,71.0,85.0,93.0,94.0,6.0,90,5,59367.0,8966.0,259.0,0,101,0,111,47,0,0,0
64,200065928,CA Lannion-Trégor Communauté,2022,33,0.0,76.0,79.0,85.0,88.0,12.0,30,3,147928.0,3319.0,770.0,0,71,0,0,292,0,407,0
