,INSEE_COM,NOM_COMMUNE,SIREN_EPCI,Nb_Permis,Part_Permis_annules,Part_Demandeurs_MEME_COMMUN,Part_Demandeurs_MEME_EPCI,Part_Demandeurs_MEME_DEP,Part_Demandeurs_BRETAGNE,Part_Demandeurs_Ouest,Part_Demandeurs_LOINTAINS,Nouveaux_Logements,Resid_secondaire,Surface_terrains,Surface_Logements,Surface_Locaux,Surface_hotels,Surface_bureaux,Surface_commerces,Surface_artisanat,Surface_industrie,Surface_bat_agricoles,Surface_entrepots,Surface_services_publics
0,22002,Andel,200069391,1,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0,0,34351.0,0.0,142.0,0,0,0,0,0,142,0,0
1,22012,La Bouillie,200069391,2,0.0,50.0,100.0,100.0,100.0,100.0,0.0,2,0,37726.0,251.0,571.0,0,0,0,0,0,571,0,0
2,22028,Camlez,200065928,7,0.0,86.0,86.0,86.0,86.0,100.0,0.0,1,0,418811.0,111.0,27908.0,0,0,0,29,292,27587,0,0
3,22044,Coëtmieux,200069391,9,0.0,22.0,44.0,100.0,100.0,100.0,0.0,7,0,20703.0,860.0,837.0,0,0,0,0,0,727,0,110
4,22049,Créhen,200068989,44,7.0,11.0,43.0,73.0,86.0,86.0,14.0,37,1,202412.0,3536.0,19930.0,0,1129,0,0,18788,0,0,13
5,22054,Erquy,200069391,157,1.0,25.0,44.0,61.0,73.0,82.0,18.0,178,22,601056.0,21723.0,17500.0,218,0,0,3073,177,5343,0,4421
6,22055,Binic-Étables-sur-Mer,200069409,127,3.0,14.0,73.0,89.0,93.0,95.0,5.0,147,1,279410.0,17907.0,2668.0,0,174,103,0,0,1236,1079,33
7,22081,Hillion,200069409,164,4.0,26.0,68.0,87.0,95.0,95.0,5.0,180,0,732311.0,18327.0,38137.0,155,213,0,799,0,8690,2266,17338
8,22085,Kerbors,200065928,3,0.0,67.0,67.0,100.0,100.0,100.0,0.0,1,0,16240.0,87.0,824.0,0,0,0,0,0,824,0,0
9,22086,Kerfot,200067981,21,5.0,48.0,81.0,95.0,95.0,100.0,0.0,22,1,53268.0,2309.0,925.0,0,98,0,0,0,0,827,0
10,22090,Kermaria-Sulard,200065928,52,2.0,31.0,88.0,90.0,98.0,98.0,2.0,53,0,617350.0,5205.0,3952.0,0,0,0,0,0,3845,0,107
11,22093,Lamballe-Armor,200069391,139,5.0,27.0,47.0,78.0,84.0,88.0,12.0,140,2,876389.0,13809.0,12446.0,0,0,1424,0,60,10936,18,8
12,22094,Lancieux,243500725,91,3.0,26.0,36.0,43.0,88.0,88.0,12.0,114,6,172554.0,13069.0,1932.0,0,0,197,0,0,1735,0,0
13,22103,Langrolay-sur-Rance,200068989,43,5.0,9.0,23.0,60.0,93.0,95.0,5.0,48,0,78977.0,5376.0,0.0,0,0,0,0,0,0,0,0
14,22106,Langueux,200069409,235,2.0,18.0,66.0,95.0,99.0,99.0,1.0,484,1,266299.0,42983.0,2182.0,0,431,18,0,1202,0,108,423
15,22109,Lanloup,200067981,6,0.0,50.0,50.0,50.0,83.0,83.0,17.0,5,0,7925.0,529.0,110.0,0,0,0,0,0,0,110,0
16,22111,Lanmodez,200065928,11,0.0,18.0,45.0,45.0,55.0,64.0,36.0,9,2,17463.0,1040.0,290.0,0,0,0,0,0,290,0,0
17,22113,Lannion,200065928,270,2.0,43.0,76.0,91.0,96.0,97.0,3.0,366,6,578731.0,37547.0,33713.0,138,4880,5189,4785,1443,10034,3614,2184
18,22117,Lantic,200069409,84,1.0,26.0,68.0,85.0,86.0,88.0,12.0,92,1,231945.0,9721.0,6341.0,392,47,0,0,0,5825,0,77
19,22118,Lanvallay,200068989,19,5.0,21.0,79.0,89.0,95.0,95.0,5.0,15,0,200072.0,2065.0,3145.0,0,0,25,768,0,2352,0,0
20,22127,Lézardrieux,200065928,18,0.0,50.0,56.0,94.0,94.0,94.0,6.0,30,0,48901.0,2764.0,3173.0,0,0,0,506,0,2667,0,0
21,22134,Louannec,200065928,86,2.0,34.0,79.0,93.0,94.0,95.0,5.0,119,2,104976.0,12557.0,101.0,0,0,0,0,0,0,101,0
22,22143,Matignon,200068989,91,3.0,5.0,32.0,67.0,84.0,87.0,13.0,102,11,168910.0,9864.0,2289.0,0,79,0,458,0,0,1752,0
23,22162,Paimpol,200067981,121,0.0,25.0,54.0,81.0,85.0,88.0,12.0,170,5,320054.0,16746.0,16336.0,0,69,1024,2092,746,5309,2938,4158
24,22166,Penvénan,200065928,35,9.0,37.0,57.0,63.0,71.0,74.0,26.0,29,7,210367.0,3655.0,3006.0,0,207,0,289,0,2264,0,246
25,22168,Perros-Guirec,200065928,224,4.0,21.0,56.0,68.0,84.0,85.0,15.0,421,29,368132.0,41622.0,4059.0,0,1293,160,275,16,0,2092,63
26,22172,Plancoët,200068989,1,0.0,0.0,100.0,100.0,100.0,100.0,0.0,1,0,1520.0,97.0,0.0,0,0,0,0,0,0,0,0
27,22174,Pléboulle,200068989,20,0.0,5.0,20.0,65.0,80.0,85.0,15.0,15,4,135833.0,1530.0,2240.0,0,0,0,0,0,2230,0,10
28,22176,Plédran,200069409,4,0.0,25.0,75.0,100.0,100.0,100.0,0.0,4,0,1705.0,525.0,0.0,0,0,0,0,0,0,0,0
29,22178,Pléhédel,200067981,4,0.0,50.0,75.0,75.0,100.0,100.0,0.0,3,0,18144.0,343.0,3720.0,0,0,0,0,0,3720,0,0
30,22179,Fréhel,200068989,125,5.0,4.0,6.0,58.0,75.0,81.0,19.0,115,26,205465.0,11751.0,2970.0,0,0,1567,0,523,578,0,302
31,22186,Pléneuf-Val-André,200069391,188,5.0,28.0,51.0,71.0,85.0,89.0,11.0,240,8,192038.0,27072.0,1665.0,120,0,34,0,0,422,0,1026
32,22187,Plérin,200069409,220,3.0,56.0,80.0,91.0,94.0,96.0,4.0,441,1,555033.0,43488.0,59176.0,3198,14315,1458,2241,0,713,4321,32863
33,22190,Pleslin-Trigavou,200068989,77,4.0,14.0,25.0,44.0,96.0,97.0,3.0,69,0,209562.0,7795.0,6352.0,0,1530,0,0,3178,1387,257,0
34,22194,Plestin-les-Grèves,200065928,84,0.0,36.0,58.0,69.0,86.0,86.0,14.0,86,2,303789.0,8194.0,4388.0,0,0,1929,565,0,1894,0,0
35,22195,Pleubian,200065928,69,6.0,39.0,45.0,74.0,80.0,86.0,14.0,78,12,117441.0,8239.0,3149.0,0,0,0,427,0,1114,255,926
36,22196,Pleudaniel,200065928,26,8.0,46.0,65.0,88.0,88.0,92.0,8.0,3,0,219591.0,404.0,24135.0,0,1619,2119,2169,0,15268,2533,427
37,22197,Pleudihen-sur-Rance,200068989,76,3.0,9.0,41.0,47.0,95.0,97.0,3.0,90,3,275037.0,11787.0,20870.0,0,1449,921,2509,550,4688,10488,265
38,22198,Pleumeur-Bodou,200065928,49,0.0,35.0,71.0,78.0,86.0,86.0,14.0,51,2,342196.0,5379.0,6663.0,0,0,55,0,0,6041,288,239
39,22199,Pleumeur-Gautier,200065928,17,0.0,59.0,76.0,88.0,88.0,100.0,0.0,9,0,193760.0,1020.0,8107.0,0,0,0,0,0,8075,0,32
40,22201,Plévenon,200068989,17,6.0,6.0,6.0,53.0,65.0,76.0,24.0,14,3,100808.0,1536.0,1842.0,0,0,0,19,0,1784,20,0
41,22209,Beaussais-sur-Mer,200068989,331,3.0,10.0,15.0,39.0,86.0,93.0,7.0,412,103,268034.0,40503.0,3437.0,0,210,402,153,462,2203,0,7
42,22210,Ploubazlanec,200067981,55,4.0,49.0,60.0,73.0,84.0,89.0,11.0,53,4,181639.0,6131.0,27977.0,0,0,0,0,0,27968,0,9
43,22211,Ploubezre,200065928,68,0.0,49.0,82.0,88.0,93.0,93.0,7.0,97,2,83468.0,9539.0,2053.0,0,71,0,350,0,1632,0,0
44,22213,Plouër-sur-Rance,200068989,96,9.0,18.0,38.0,54.0,96.0,97.0,3.0,91,0,296250.0,10119.0,7194.0,0,0,117,585,238,5545,275,42
45,22214,Plouézec,200067981,82,6.0,32.0,56.0,73.0,88.0,88.0,12.0,97,1,343298.0,10806.0,2457.0,0,302,0,0,0,2155,0,0
46,22215,Ploufragan,200069409,5,40.0,20.0,80.0,100.0,100.0,100.0,0.0,5,1,8557.0,577.0,0.0,0,0,0,0,0,0,0,0
47,22218,Plougrescant,200065928,19,5.0,53.0,74.0,79.0,89.0,89.0,11.0,13,2,49471.0,1410.0,999.0,0,28,0,619,0,62,0,290
48,22221,Plouguiel,200065928,20,15.0,55.0,80.0,85.0,85.0,85.0,15.0,13,0,84171.0,1703.0,7023.0,0,0,225,0,0,6608,190,0
49,22222,Plouha,200069086,113,4.0,38.0,44.0,73.0,80.0,81.0,19.0,121,11,304211.0,13219.0,1332.0,0,66,0,0,0,1257,0,9
50,22224,Ploulec'h,200065928,38,5.0,21.0,79.0,92.0,97.0,97.0,3.0,38,0,33581.0,4169.0,1030.0,0,49,487,0,9,0,392,0
51,22226,Ploumilliau,200065928,21,0.0,48.0,81.0,100.0,100.0,100.0,0.0,9,0,139785.0,1054.0,6123.0,0,314,0,2186,0,3120,503,0
52,22232,Plourhan,200069409,122,5.0,31.0,70.0,89.0,93.0,93.0,7.0,125,0,456454.0,13876.0,7943.0,0,0,0,528,17,7398,0,0
53,22233,Plourivo,200067981,24,4.0,54.0,79.0,92.0,100.0,100.0,0.0,30,0,86761.0,3133.0,298.0,0,0,0,0,0,298,0,0
54,22235,Plouzélambre,200065928,4,0.0,50.0,75.0,75.0,75.0,75.0,25.0,2,1,32338.0,202.0,941.0,40,0,0,0,0,901,0,0
55,22237,Pluduno,200068989,7,14.0,29.0,29.0,86.0,86.0,86.0,14.0,5,1,30262.0,603.0,1879.0,0,0,0,0,0,1879,0,0
56,22242,Plurien,200069391,110,4.0,26.0,44.0,63.0,82.0,85.0,15.0,109,6,365307.0,12429.0,6367.0,151,164,26,1400,0,4091,246,138
57,22246,Pommeret,200069391,6,0.0,0.0,33.0,100.0,100.0,100.0,0.0,9,0,589.0,912.0,0.0,0,0,0,0,0,0,0,0
58,22251,Pordic,200069409,232,3.0,37.0,74.0,93.0,96.0,97.0,3.0,296,1,344935.0,29469.0,8610.0,0,1573,2196,922,0,2574,1203,142
59,22258,Quessoy,200069391,14,0.0,21.0,36.0,86.0,100.0,100.0,0.0,15,0,28316.0,1549.0,0.0,0,0,0,0,0,0,0,0
60,22265,Rospez,200065928,4,0.0,0.0,50.0,50.0,75.0,75.0,25.0,3,0,42634.0,324.0,22.0,0,0,0,0,22,0,0,0
61,22268,Ruca,200068989,23,4.0,4.0,17.0,91.0,96.0,96.0,4.0,22,0,71708.0,2267.0,668.0,0,0,0,0,0,668,0,0
62,22273,Saint-Alban,200069391,182,2.0,30.0,72.0,86.0,93.0,95.0,5.0,161,1,608654.0,17625.0,14369.0,0,1114,4500,1555,0,3036,3931,233
63,22278,Saint-Brieuc,200069409,9,0.0,22.0,67.0,67.0,100.0,100.0,0.0,5,0,33604.0,605.0,1171.0,0,0,0,756,0,302,0,113
64,22282,Saint-Cast-le-Guildo,200068989,115,3.0,3.0,9.0,51.0,80.0,84.0,16.0,112,32,578397.0,14258.0,4317.0,1047,0,0,175,0,1869,733,263
65,22299,Saint-Hélen,200068989,61,3.0,8.0,49.0,57.0,92.0,95.0,5.0,58,0,108169.0,5944.0,2966.0,0,0,0,0,0,2916,50,0
66,22302,Saint-Jacut-de-la-Mer,200068989,5,0.0,20.0,20.0,60.0,60.0,80.0,20.0,4,2,20277.0,618.0,7.0,0,0,0,0,0,0,0,7
67,22311,Saint-Lormel,200068989,2,50.0,0.0,0.0,100.0,100.0,100.0,0.0,0,0,8333.0,0.0,236.0,0,0,0,0,0,136,100,0
68,22319,Saint-Michel-en-Grève,200065928,6,0.0,67.0,67.0,83.0,100.0,100.0,0.0,2,0,188452.0,289.0,1079.0,0,0,0,0,0,1070,0,9
69,22323,Saint-Pôtan,200068989,7,0.0,0.0,43.0,100.0,100.0,100.0,0.0,4,0,284169.0,492.0,1194.0,0,14,0,0,0,1180,0,0
70,22324,Saint-Quay-Perros,200065928,55,0.0,9.0,76.0,91.0,95.0,95.0,5.0,71,1,138310.0,6972.0,0.0,0,0,0,0,0,0,0,0
71,22325,Saint-Quay-Portrieux,200069409,57,2.0,21.0,46.0,72.0,77.0,79.0,21.0,50,0,204587.0,6906.0,4305.0,0,0,0,1485,1210,0,1610,0
72,22327,Saint-Samson-sur-Rance,200068989,32,0.0,3.0,34.0,53.0,91.0,100.0,0.0,31,0,52763.0,3293.0,104.0,0,0,0,0,0,104,0,0
73,22339,Taden,200068989,102,5.0,8.0,52.0,75.0,92.0,94.0,6.0,90,4,663145.0,9270.0,25057.0,0,5346,4320,3893,4756,938,4977,827
74,22343,Trébeurden,200065928,57,5.0,39.0,75.0,84.0,84.0,84.0,16.0,111,3,110509.0,10599.0,2471.0,0,0,0,0,0,1447,107,310
75,22347,Trédarzec,200065928,17,0.0,18.0,53.0,88.0,88.0,88.0,12.0,17,0,22345.0,1632.0,243.0,0,0,0,0,0,0,243,0
76,22349,Trédrez-Locquémeau,200065928,29,7.0,14.0,52.0,62.0,90.0,90.0,10.0,31,4,52031.0,4162.0,970.0,0,0,0,220,0,0,750,0
77,22350,Tréduder,200065928,1,0.0,0.0,0.0,100.0,100.0,100.0,0.0,1,0,1334.0,85.0,0.0,0,0,0,0,0,0,0,0
78,22353,Trégastel,200065928,68,7.0,29.0,63.0,72.0,79.0,81.0,19.0,63,6,161071.0,7868.0,2010.0,0,0,436,665,0,386,523,0
79,22356,Trégomeur,200069086,4,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0,0,103815.0,0.0,2637.0,0,0,0,0,0,2637,0,0
80,22360,Trégueux,200069409,93,4.0,32.0,82.0,96.0,97.0,97.0,3.0,195,0,139468.0,17154.0,15933.0,0,2681,55,8058,257,0,4865,17
81,22363,Trélévern,200065928,23,4.0,30.0,52.0,61.0,65.0,70.0,30.0,21,4,67657.0,2538.0,2594.0,0,0,0,219,0,2375,0,0
82,22368,Tréméreuc,243500725,11,0.0,27.0,64.0,64.0,100.0,100.0,0.0,4,1,26088.0,414.0,4013.0,0,0,244,1710,0,2059,0,0
83,22377,Tréveneuc,200069409,96,3.0,22.0,56.0,77.0,85.0,89.0,11.0,98,6,142648.0,10489.0,1414.0,0,0,0,0,0,1404,0,10
84,22379,Trévou-Tréguignec,200065928,76,0.0,32.0,84.0,92.0,93.0,95.0,5.0,67,4,102517.0,7243.0,4196.0,0,189,230,21,0,1514,0,2137
85,22385,La Vicomté-sur-Rance,200068989,59,2.0,2.0,31.0,49.0,85.0,86.0,14.0,66,0,38439.0,6175.0,490.0,0,105,0,0,0,0,185,200
86,22389,Yffiniac,200069409,156,4.0,21.0,65.0,92.0,96.0,96.0,4.0,242,0,849677.0,23597.0,12070.0,0,2424,3028,2518,75,775,2077,278
87,22390,Yvias,200067981,1,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0,0,71680.0,0.0,2066.0,0,0,0,0,0,2066,0,0
88,29001,Argol,200066868,34,3.0,38.0,65.0,82.0,82.0,82.0,18.0,36,2,37340.0,3655.0,570.0,0,0,0,0,0,570,0,0
89,29003,Audierne,242900629,32,9.0,34.0,47.0,78.0,81.0,81.0,19.0,28,4,35120.0,2666.0,2862.0,0,929,343,379,368,0,370,473
90,29005,Baye,242900694,2,0.0,50.0,100.0,100.0,100.0,100.0,0.0,1,0,19610.0,119.0,150.0,0,0,0,150,0,0,0,0
91,29006,Bénodet,242900660,224,9.0,25.0,40.0,83.0,89.0,90.0,10.0,261,20,370825.0,31680.0,2673.0,136,600,1156,0,7,262,95,155
92,29008,Beuzec-Cap-Sizun,242900629,27,4.0,41.0,56.0,74.0,74.0,74.0,26.0,22,0,275812.0,2261.0,5754.0,0,0,0,0,0,5231,523,0
93,29011,Bohars,242900314,74,1.0,16.0,89.0,99.0,100.0,100.0,0.0,73,0,117079.0,8538.0,38.0,0,0,0,0,0,0,0,38
94,29015,Bourg-Blanc,242900553,10,0.0,10.0,50.0,40.0,40.0,40.0,60.0,8,0,52701.0,932.0,1633.0,0,0,13,0,0,1620,0,0
95,29017,Brélès,242900074,13,8.0,38.0,69.0,100.0,100.0,100.0,0.0,10,0,441753.0,1030.0,1477.0,0,0,0,0,0,1477,0,0
96,29019,Brest,242900314,449,2.0,59.0,77.0,91.0,93.0,94.0,6.0,1148,3,4701367.0,101571.0,123062.0,6699,39375,15587,0,16311,3327,6661,13472
97,29021,Plounéour-Brignogan-plages,242900793,44,7.0,25.0,50.0,75.0,77.0,80.0,20.0,43,10,49392.0,5217.0,798.0,0,0,0,0,0,798,0,0
98,29022,Camaret-sur-Mer,200066868,23,13.0,52.0,57.0,78.0,83.0,83.0,17.0,26,7,35417.0,2972.0,4002.0,0,174,0,0,0,0,1827,0
99,29023,Carantec,242900835,84,7.0,43.0,55.0,75.0,82.0,86.0,14.0,123,12,179451.0,13449.0,2422.0,0,0,273,0,0,2149,0,0
100,29028,Cléden-Cap-Sizun,242900629,7,0.0,43.0,57.0,57.0,71.0,71.0,29.0,5,2,16913.0,340.0,735.0,0,0,0,15,0,720,0,0
101,29030,Cléder,200067072,144,5.0,53.0,68.0,86.0,87.0,90.0,10.0,119,13,758223.0,13006.0,135106.0,0,248,0,2526,0,130904,1428,0
102,29031,Clohars-Carnoët,242900694,362,6.0,23.0,40.0,50.0,89.0,90.0,10.0,521,26,480008.0,52677.0,6102.0,54,0,521,0,0,4942,0,118
103,29032,Clohars-Fouesnant,242900660,103,8.0,2.0,32.0,91.0,94.0,95.0,5.0,114,5,438051.0,13267.0,5447.0,0,873,1286,0,0,521,0,1894
