,INSEE_COM,NOM,Nb_mutations,prix_median_terrain_m2,prix_median_terrain_m2,valeur_fonciere_EuroConstant,SURFACE_MUTATION
,,,count,median,max,sum,sum
0,22002,Andel,3,0.4998000000000001,0.6720600000000001,11923.786200000002,21390.0
1,22012,La Bouillie,5,0.6174111321095844,0.8214685314685316,165584.88399499998,294975.0
2,22016,Île-de-Bréhat,45,5.468271334792123,25.948262548262548,401901.39908,94104.0
3,22028,Camlez,17,1.3479300458715595,26.305263157894736,1094616.871825,722816.0
4,22028,Penvénan,1,1.0122,1.0122,26270.6388,25954.0
5,22044,Coëtmieux,15,0.6925259979317476,68.0745,357529.46598000004,309759.0
6,22049,Créhen,44,0.5959756899810964,76.33484162895928,1796634.71113,536645.0
7,22054,Erquy,128,2.1232348387937847,444.12098298676756,10645851.063803,820140.0
8,22055,Binic-Étables-sur-Mer,118,1.7585175112314735,787.704280155642,5411174.379701001,837396.0
9,22055,Lantic,1,0.33587098175499563,0.33587098175499563,1546.35,4604.0
10,22055,Plourhan,3,0.6360617272809314,1.0018,176342.6889,293896.0
11,22055,Pordic,1,0.5102309266296404,0.5102309266296404,52364.99999999999,102630.0
12,22076,Fréhel,1,0.5979077441550236,0.5979077441550236,127740.0,213645.0
13,22076,Hénanbihen,9,0.3524511687054623,0.78407,73105.12098,216973.0
14,22076,Plurien,1,0.33103071246609006,0.33103071246609006,88102.5,266146.0
15,22076,Pléboulle,2,0.3542337773823153,0.5592477981432993,11217.400000000001,40543.0
16,22081,Hillion,157,0.517779548223826,62.51790830945558,1663690.745846,1364427.0
17,22085,Kerbors,48,1.1747,11.747,903456.094823,668469.0
18,22085,Pleumeur-Gautier,1,1.0649729216585748,1.0649729216585748,119328.085926,112048.0
19,22086,Kerfot,25,0.80144,20.461116910229645,367032.9819,355549.0
20,22086,Paimpol,1,2.406929723193042,2.406929723193042,270103.246607,112219.0
21,22086,Yvias,2,0.5222017244748411,0.6283799999999999,26956.5366,53275.0
22,22090,Kermaria-Sulard,22,1.4700161728449712,101.26724137931035,1043810.34244,472612.0
23,22090,Louannec,2,0.9118808658340205,1.2849251636191275,181415.0,184777.0
24,22093,Lamballe-Armor,78,0.5865791994750656,142.2527,2044213.0429490001,2400018.0
