,DEP,INSEE_COM,NOM,Part_Resid_Sec_09,Part_Resid_Sec_14,Part_Resid_Sec_20,P09_LOG,P14_LOG,P20_LOG,Part_Resid_Vac_09,Part_Resid_Vac_14,Part_Resid_Vac_20,P09_RSECOCC,P14_RSECOCC,P20_RSECOCC,P14_LOGVAC,P09_LOGVAC,P20_LOGVAC
0,56,56085,H?dic,74.3,72.5,78.9,238.9,253.9,244.9,0.8,2.4,0.0,177.5,184.1,193.1,6.0,2.0,0.0
1,22,22016,Île-de-Bréhat,75.6,70.7,77.2,842.0,862.1,877.3,2.4,8.5,3.0,636.8,609.9,677.5,73.1,20.3,26.4
2,56,56214,Saint-Gildas-de-Rhuys,72.1,73.1,77.0,3294.2,3463.8,3749.5,2.4,1.7,0.9,2376.8,2530.8,2888.4,60.4,79.5,35.0
3,56,56005,Arzon,79.2,79.6,76.8,6080.4,6216.0,6449.0,1.6,1.0,2.5,4813.2,4948.4,4951.0,64.8,95.3,161.0
4,56,56052,Damgan,77.2,74.2,73.5,3878.5,3903.1,4083.0,1.9,3.1,1.4,2993.7,2894.7,3000.0,122.6,73.0,56.0
5,56,56087,Île-aux-Moines,61.7,72.4,72.1,1121.1,1183.7,1245.0,10.6,0.9,0.6,691.2,856.8,898.0,10.7,118.9,8.0
6,56,56155,Pénestin,68.3,74.3,71.1,3128.1,3527.5,3854.5,3.5,0.7,1.2,2135.9,2622.3,2741.3,24.2,108.4,48.0
7,56,56034,Carnac,74.7,71.4,70.6,9279.4,8457.6,8765.7,1.2,2.4,3.2,6929.4,6037.8,6187.3,200.1,115.9,283.4
8,29,29085,Île-Tudy,75.0,71.4,70.4,1475.9,1427.0,1434.0,0.1,0.1,0.5,1107.3,1018.6,1009.4,1.0,2.2,7.0
9,29,29084,Île-Molène,57.3,66.8,68.7,293.0,304.0,313.4,1.7,3.9,0.3,168.0,203.0,215.2,12.0,5.0,1.0
10,56,56258,La Trinité-sur-Mer,68.7,67.0,68.2,2826.3,2684.9,2784.4,2.6,1.8,0.1,1941.6,1798.6,1900.4,48.1,74.0,2.0
11,44,44136,Préfailles,67.7,67.0,68.0,1969.0,2069.0,2291.9,1.5,3.5,3.3,1333.0,1387.0,1557.9,72.0,30.0,76.3
12,56,56114,Locmaria,71.4,70.9,67.9,1397.1,1494.5,1539.0,0.6,0.3,0.4,998.0,1059.1,1045.0,4.0,9.0,6.0
13,56,56088,Île-d'Arz,67.8,70.4,67.4,524.5,553.9,570.7,5.7,4.2,6.6,355.7,390.1,384.7,23.5,29.9,37.4
14,44,44125,Piriac-sur-Mer,72.7,68.8,67.3,4148.5,3755.8,4042.3,2.6,2.5,2.8,3016.7,2583.8,2721.0,93.6,105.8,112.3
15,56,56234,Saint-Pierre-Quiberon,66.5,66.1,66.8,3635.4,3553.8,3657.3,2.7,2.7,1.8,2416.5,2349.6,2444.2,96.8,99.3,65.6
